TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 18+),Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children"
2015-2017,UHF42,310,4,Lower Manhattan,1.1,0.5,2.2,5.8
2015-2017,UHF42,401,4,Long Island City - Astoria,4.1,2.2,2.3,6.4
2015-2017,UHF42,402,4,West Queens,8.7,9.3,2.3,9.0
2015-2017,UHF42,403,4,Flushing - Clearview,3.2,4.0,1.4,8.5
2015-2017,UHF42,404,4,Bayside - Little Neck,0.9,0.8,1.2,4.4
2015-2017,UHF42,405,4,Ridgewood - Forest Hills,4.0,5.1,1.9,10.0
2015-2017,UHF42,406,4,Fresh Meadows,2.0,3.1,2.5,13.8
2015-2017,UHF42,407,4,Southwest Queens,6.4,7.9,2.8,11.3
2015-2017,UHF42,408,4,Jamaica,10.8,13.1,4.3,18.0
2015-2017,UHF42,409,4,Southeast Queens,5.1,7.2,3.0,16.1
2015-2017,UHF42,410,4,Rockaways,4.3,3.7,4.8,11.0
2015-2017,UHF42,501,4,Port Richmond,3.8,4.7,7.7,24.7
2015-2017,UHF42,502,4,Stapleton - St. George,5.5,4.3,5.7,15.0
2015-2017,UHF42,503,4,Willowbrook,1.8,1.1,2.6,5.6
2015-2017,UHF42,504,4,South Beach - Tottenville,2.6,2.2,1.7,5.1
2015-2017,Borough,1,1,Bronx,97.9,132.7,9.1,34.3
2015-2017,Borough,2,1,Brooklyn,63.4,104.2,3.1,16.5
2015-2017,Borough,3,1,Manhattan,38.4,45.9,2.8,18.0
2015-2017,Borough,4,1,Queens,49.4,56.5,2.6,11.4
2015-2017,Borough,5,1,Staten Island,13.6,12.3,3.7,11.2
2015-2017,Citywide,1,0,New York City,262.8,351.6,3.9,18.7
2012-2014,UHF42,101,4,Kingsbridge - Riverdale,4.3,4.2,5.8,22.7
2012-2014,UHF42,102,4,Northeast Bronx,15.5,18.6,10.3,42.4
2012-2014,UHF42,103,4,Fordham - Bronx Pk,28.8,35.1,15.0,51.0
2012-2014,UHF42,104,4,Pelham - Throgs Neck,24.5,26.7,10.5,36.5
2012-2014,UHF42,105,4,Crotona -Tremont,23.9,27.7,15.8,44.8
2012-2014,UHF42,106,4,High Bridge - Morrisania,24.7,29.7,16.1,48.7
2012-2014,UHF42,107,4,Hunts Point - Mott Haven,19.5,23.7,19.4,57.8
2012-2014,UHF42,201,4,Greenpoint,3.6,1.8,3.6,6.4
2012-2014,UHF42,202,4,Downtown - Heights - Slope,9.8,7.3,5.2,17.1
2012-2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,30.6,33.6,12.4,44.8
2012-2014,UHF42,204,4,East New York,16.0,19.1,11.7,36.1
2012-2014,UHF42,205,4,Sunset Park,5.4,3.6,5.2,11.6
2012-2014,UHF42,206,4,Borough Park,6.4,3.5,2.6,3.5
2012-2014,UHF42,207,4,East Flatbush - Flatbush,17.0,24.7,7.2,36.6
2012-2014,UHF42,208,4,Canarsie - Flatlands,10.0,10.1,6.5,22.5
