TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 30+),"Estimated annual rate (age 30+) per 100,000 adults"
2005-2007,UHF42,105,4,Crotona -Tremont,64.7,
2005-2007,UHF42,106,4,High Bridge - Morrisania,82.6,
2005-2007,UHF42,107,4,Hunts Point - Mott Haven,45.2,
2005-2007,UHF42,201,4,Greenpoint,42.2,
2005-2007,UHF42,202,4,Downtown - Heights - Slope,78.0,
2005-2007,UHF42,203,4,Bedford Stuyvesant - Crown Heights,135.0,
2005-2007,UHF42,204,4,East New York,57.5,
2005-2007,UHF42,205,4,Sunset Park,33.9,
2005-2007,UHF42,206,4,Borough Park,126.3,
2005-2007,UHF42,207,4,East Flatbush - Flatbush,95.6,
2005-2007,UHF42,208,4,Canarsie - Flatlands,72.4,
2005-2007,UHF42,209,4,Bensonhurst - Bay Ridge,97.5,
2005-2007,UHF42,210,4,Coney Island - Sheepshead Bay,159.1,
2005-2007,UHF42,211,4,Williamsburg - Bushwick,72.0,
2005-2007,UHF42,301,4,Washington Heights,91.4,
2005-2007,UHF42,302,4,Central Harlem - Morningside Heights,85.9,
2005-2007,UHF42,303,4,East Harlem,60.1,
2005-2007,UHF42,304,4,Upper West Side,99.7,
2005-2007,UHF42,305,4,Upper East Side,94.3,
2005-2007,UHF42,306,4,Chelsea - Clinton,57.2,
2005-2007,UHF42,307,4,Gramercy Park - Murray Hill,50.8,
2005-2007,UHF42,308,4,Greenwich Village - SoHo,29.3,
2005-2007,UHF42,309,4,Union Square - Lower East Side,93.1,
2005-2007,UHF42,310,4,Lower Manhattan,13.3,
2005-2007,UHF42,401,4,Long Island City - Astoria,74.2,
2005-2007,UHF42,402,4,West Queens,133.9,
2005-2007,UHF42,403,4,Flushing - Clearview,98.6,
2005-2007,UHF42,404,4,Bayside - Little Neck,29.8,
2005-2007,UHF42,405,4,Ridgewood - Forest Hills,111.2,
2005-2007,UHF42,406,4,Fresh Meadows,31.0,
2005-2007,UHF42,407,4,Southwest Queens,79.0,
2005-2007,UHF42,408,4,Jamaica,99.7,
2005-2007,UHF42,409,4,Southeast Queens,53.5,
2005-2007,UHF42,410,4,Rockaways,63.1,
2005-2007,UHF42,501,4,Port Richmond,25.2,
2005-2007,UHF42,502,4,Stapleton - St. George,60.5,
2005-2007,UHF42,503,4,Willowbrook,41.4,
2005-2007,UHF42,504,4,South Beach - Tottenville,75.8,
2005-2007,Borough,1,1,Bronx,553.3,76.5
2005-2007,Borough,2,1,Brooklyn,969.5,67.8
2005-2007,Borough,3,1,Manhattan,675.2,64.0
2005-2007,Borough,4,1,Queens,774.1,54.8
2005-2007,Borough,5,1,Staten Island,202.9,70.7
2005-2007,Citywide,1,0,New York City,"3,175.0",64.7
